from	to	episode	order
Kendall	Joe	1	1
Krystal	Kevin	1	2
Tia	Chris	1	3
Annaliese	John	1	4
Tia	Colton	1	5
Annaliese	Jordan K.	2	6
Krystal	Kenny	2	7
Astrid	Kevin	2	8
Kendall	Joe	2	9
Kendall	John	2	10
Tia	Chris	2	11
Jenna	Jordan K.	3	12
Jenna	Jordan K.	3	13
Jenna	Jordan K.	3	14
Jenna	Jordan K.	3	15
Angela	Eric	3	16
Caroline	John	3	17
Jubilee	John	3	18
Jubilee	John	3	19
Krystal	Chris	3	20
Jacqueline	Kenny	4	21
Annaliese	Kenny	4	22
Jubilee	John	4	23
Caroline	John	4	24
Tia	Colton	4	25
Astrid	Kevin	4	26
Jenna	Jordan K.	4	27
Caroline	John	4	28
Jubilee	John	4	29
Angela	Eric	4	30
Tia	Colton	4	31
Bibiana	Kenny	4	32
Jacqueline	Kenny	4	33
Annaliese	Kenny	4	34
Astrid	Kevin	4	35
Kendall	Leo	5	36
Kendall	Leo	5	37
Kendall	Leo	5	38
Kendall	Leo	5	39
Chelsea	Leo	5	40
Tia	Colton	5	41
Tia	Colton	5	42
Jenna	Benoit	5	43
Annaliese	Kenny	6	44
Jenna	Benoit	6	45
Krystal	Chris	6	46
Krystal	Chris	6	47
Krystal	Connor	6	48
Krystal	Connor	6	49
Jenna	Jordan K.	6	50
Jenna	Benoit	6	51
Astrid	Kevin	6	52
Annaliese	Kamil	6	53
Astrid	Kevin	6	54
Chelsea	Leo	6	55
Jenna	Jordan K.	6	56
Kendall	Joe	7	57
Annaliese	Kamil	7	58
Chelsea	Benoit	7	59
Astrid	Kevin	7	60
Astrid	Kevin	7	61
Angela	Eric	7	62
Krystal	Chris	7	63
Kendall	John	7	64
Kendall	Joe	7	65
Tia	Colton	7	66
Chelsea	John	7	67
Chelsea	Connor	7	68
Chelsea	Benoit	7	69
Kendall	Joe	7	70
Kendall	Joe	7	71
Jenna	Jordan K.	7	72
Olivia	John	7	73
Cassandra	Eric	8	74
Astrid	Kevin	8	75
Annaliese	Kamil	8	76
Shushanna	Kamil	8	77
Astrid	Kevin	8	78
Astrid	Kevin	8	79
Annaliese	Kamil	8	80
Olivia	John	8	81
Christen	John	8	82
Annaliese	Kamil	8	83
Christen	John	8	84
Olivia	John	8	85
Kendall	Joe	8	86
Annaliese	Kamil	8	87
Annaliese	Kamil	8	88
Krystal	Chris	9	89
Kendall	Joe	9	90
Kendall	Joe	9	91
Annaliese	Kamil	9	92
Annaliese	Kamil	9	93
Krystal	Chris	9	94
Olivia	John	9	95
Krystal	Chris	9	96
Krystal	Chris	9	97
Olivia	Diggy	9	98
Olivia	Diggy	9	99
Jenna	Jordan K.	10	100
Krystal	Chris	10	101
Astrid	Kevin	10	102
Jenna	Jordan K.	10	103
Krystal	Chris	10	104
Astrid	Kevin	10	105
Cassandra	Jordan M.	10	106
Kendall	Joe	10	107
Annaliese	Kamil	10	108
Astrid	Kevin	10	109
Krystal	Chris	10	110
Jenna	Jordan K.	10	111
Olivia	John	10	112
Annaliese	Kamil	10	113
Astrid	Kevin	10	114
Krystal	Chris	10	115
Annaliese	Kamil	10	116
Jenna	Jordan K.	10	117
Annaliese	Kamil	10	118
Krystal	Chris	10	119
